IND,LINHA_CODI,CODIGO,SENTIDO,NOME,DISTANCIA,DATA_CRIA,DECADA,PRI_VIAG,ULT_VIAG,COD_AREA,TP_LINHA,EMPRESA1,EMPRESA2,CONSORCIO,SUBSISTEMA,FROTA,MED_UTIL,MED_SAB,MED_DOM,MAX_581,MAX_582,MAX_16191,MAX_16192,TOT_PART,TP_FROT1,QTD_FROT1,TP_FROT2,QTD_FROT2,TP_FROT3,QTD_FROT3,TP_FROT4,QTD_FROT4,CLASSE,PASS_DIN,PASS_BCOM,PASS_BMENS,PASS_BEST,PASS_BESM,PASS_BVT,PASS_BVTME,PASS_INMC,PASS_INMCM,PASS_PAGA,PASS_INBUS,PASS_GRAT,TOTAL_PASS,END_GAR,TRECH_LOG,MS_REF
0,1015-10_1,1015-10,1,CHÁCARA MARIA TRINDADE - TERMINAL JD. BRITANIA,11957.97,2014,2010,05:00,22:20,AREA 1,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,2,520,284,154,3,0,3,0,35,MINIÔNIBUS,2,,0,,0,,0,DIURNA  (D),1301,3786,57,174,591,2735,28,5,0,8677,4770,1906,15353,"Rua Andresa, 101",43,Setembro
1,1024-10_1,1024-10,1,JD. CAROMBE - CONEXÃO PETRÔNIO PORTELA,7179.93,2015,2010,03:40,23:30,AREA 1,PERMISSAO,FENIX,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,23,0,0,0,20,13,11,20,235,MINIÔNIBUS,23,,0,,0,,0,DIURNA  (D),1358,7410,4562,5580,7780,6335,764,1445,294,171466,1159,5214,339552,"Rua Andresa, 101",72,Setembro
2,172Y-10_2,172Y-10,2,VILA CONSTANÇA - METRÔ BELÉM,11899.69,2001,2000,05:10,00:45,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,16,11164,8349,4194,8,8,8,8,130,MINIÔNIBUS,16,,0,,0,,0,DIURNA  (D),1799,4350,3196,7993,4267,3815,225,1551,232,131077,5794,4586,234880,"Rua Antonelo da Messina, 1.726",147,Setembro
3,5127-10_2,5127-10,2,VILA GUACURI - ESTAÇÃO JURUBATUBA,12080.81,2003,2000,04:40,00:00,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,12,898,797,373,6,6,6,6,93,MIDIÔNIBUS,12,,0,,0,,0,DIURNA  (D),7571,1839,1555,2520,2131,2167,101,1128,128,65354,2815,1605,109570,"Estrada do Alvarenga, 999",138,Setembro
4,5128-10_1,5128-10,1,JD. APURÁ - AEROPORTO,22825.77,2003,2000,04:00,23:30,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,26,13727,10134,7232,9,9,9,9,160,MINIÔNIBUS,23,MIDIÔNIBUS,3,,0,,0,DIURNA  (D),2652,6413,4664,7695,5871,6164,614,2585,371,197368,8476,4745,329585,"Estrada do Alvarenga, 999",226,Setembro
5,5128-10_2,5128-10,2,JD. APURÁ - AEROPORTO,22524.99,2003,2000,05:05,00:40,AREA 6,PERMISSAO,COOPERLIDER,,A2 Transportes,SUBSISTEMA LOCAL,26,13727,10134,7232,9,9,9,9,160,MINIÔNIBUS,23,MIDIÔNIBUS,3,,0,,0,DIURNA  (D),2652,6413,4664,7695,5871,6164,614,2585,371,197368,8476,4745,329585,"Estrada do Alvarenga, 999",227,Setembro
6,5129-10_1,5129-10,1,JD. MIRIAM - TERM. GUARAPIRANGA,17866.07,2003,2000,04:10,23:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,34,14079,9020,5974,8,7,7,7,104,B-SICO,13,PADRON,21,,0,,0,DIURNA  (D),2337,6431,5964,7823,6694,5940,983,7203,276,176037,1084,3397,318421,"Estrada do Alvarenga, 4000 A",164,Setembro
7,5129-10_2,5129-10,2,JD. MIRIAM - TERM. GUARAPIRANGA,19777.74,2003,2000,04:55,00:15,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,34,14079,9020,5974,7,8,7,7,105,B-SICO,13,PADRON,21,,0,,0,DIURNA  (D),2337,6431,5964,7823,6694,5940,983,7203,276,176037,1084,3397,318421,"Estrada do Alvarenga, 4000 A",163,Setembro
8,5129-41_1,5129-41,1,JD. MIRIAM - SANTO AMARO,11054.21,2010,2010,04:20,23:40,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,15,9268,6450,2906,9,8,8,7,110,B-SICO,13,PADRON,2,,0,,0,DIURNA  (D),1697,4731,2908,3692,2452,3646,392,1850,104,112151,6025,2759,200001,"Estrada do Alvarenga, 4000 A",94,Setembro
9,5129-41_2,5129-41,2,JD. MIRIAM - SANTO AMARO,11335.12,2010,2010,05:05,00:20,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,15,9268,6450,2906,8,9,7,8,110,B-SICO,13,PADRON,2,,0,,0,DIURNA  (D),1697,4731,2908,3692,2452,3646,392,1850,104,112151,6025,2759,200001,"Estrada do Alvarenga, 4000 A",97,Setembro
10,5131-10_1,5131-10,1,CIDADE ADEMAR - PQ. DOM PEDRO II,19602.26,1987,1980,04:45,23:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,13,7794,2196,12,6,4,3,5,58,B-SICO,6,PADRON,7,,0,,0,DIURNA  (D),1014,3157,2556,4727,2500,2708,282,5321,124,84315,3624,1535,135919,"Estrada do Alvarenga, 4000 A",221,Setembro
11,5131-10_2,5131-10,2,CIDADE ADEMAR - PQ. DOM PEDRO II,18605.74,1987,1980,05:50,00:30,AREA 6,CONCESSAO,MOBIBRASIL,,CONS. UNISUL,SUBSISTEMA ESTRUTURAL,13,7794,2196,12,4,6,5,3,60,B-SICO,6,PADRON,7,,0,,0,DIURNA  (D),1014,3157,2556,4727,2500,2708,282,5321,124,84315,3624,1535,135919,"Estrada do Alvarenga, 4000 A",200,Setembro
12,513L-10_1,513L-10,1,TERM. SACOMA - PQ. BELEM,13288.82,2007,2000,04:00,00:05,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,10,6150,2765,1353,5,4,4,4,70,PADRON,10,,0,,0,,0,DIURNA  (D),1077,2976,2266,3804,2287,2054,208,1758,82,71486,3316,2286,127510,"Av. do Cursino, 5.797",128,Setembro
13,1730-10_1,1730-10,1,CENTER NORTE - SANTANA,9048.66,2002,2000,06:30,23:30,AREA 2,PERMISSAO,TRANSCOOPER,,CONS. TRANSNOROESTE,SUBSISTEMA LOCAL,7,3697,3112,1747,6,0,9,0,114,MINIÔNIBUS,7,,0,,0,,0,DIURNA  (D),5040,1677,2036,3994,2981,2608,128,3512,132,60676,3332,1294,106944,"Rua Antonelo da Messina, 1.726",92,Setembro
14,513L-10_2,513L-10,2,TERM. SACOMA - PQ. BELEM,13037.81,2007,2000,04:50,01:00,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,10,6150,2765,1353,4,5,4,4,70,PADRON,10,,0,,0,,0,DIURNA  (D),1077,2976,2266,3804,2287,2054,208,1758,82,71486,3316,2286,127510,"Av. do Cursino, 5.797",124,Setembro
15,5141-10_1,5141-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. CORREIO,20095.83,2006,2000,04:00,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,12,6049,3188,1945,7,5,3,5,64,B-SICO,0,PADRON,12,,0,,0,DIURNA  (D),1341,3123,2164,2935,2591,2058,438,640,172,74183,3429,2273,131208,"Rua Iososuke Okaue, 488",230,Setembro
16,5141-10_2,5141-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. CORREIO,21529.6,2006,2000,04:50,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,12,6049,3188,1945,5,7,5,3,63,B-SICO,0,PADRON,12,,0,,0,DIURNA  (D),1341,3123,2164,2935,2591,2058,438,640,172,74183,3429,2273,131208,"Rua Iososuke Okaue, 488",271,Setembro
17,5142-10_1,5142-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,24200.08,2006,2000,04:00,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,18,14725,9892,4900,8,7,6,6,100,PADRON,9,ARTICULADO,9,,0,,0,DIURNA  (D),2854,7076,5241,7381,4979,6319,530,1517,412,196229,9562,5137,343233,"Rua Iososuke Okaue, 488",277,Setembro
18,5142-10_2,5142-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,23983.36,2006,2000,05:05,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,18,14725,9892,4900,7,8,6,6,100,PADRON,9,ARTICULADO,9,,0,,0,DIURNA  (D),2854,7076,5241,7381,4979,6319,530,1517,412,196229,9562,5137,343233,"Rua Iososuke Okaue, 488",264,Setembro
19,5143-10_1,5143-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,19096.77,2006,2000,04:30,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,8,5162,2591,28,6,5,4,4,64,PADRON,8,ARTICULADO,0,,0,,0,DIURNA  (D),5054,1776,2183,2654,1766,1930,154,8058,119,57061,4346,1073,111258,"Rua Iososuke Okaue, 488",149,Setembro
20,5143-10_2,5143-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D.PEDRO II,18289.5,2006,2000,04:40,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,8,5162,2591,28,5,6,4,4,61,PADRON,8,ARTICULADO,0,,0,,0,DIURNA  (D),5054,1776,2183,2654,1766,1930,154,8058,119,57061,4346,1073,111258,"Rua Iososuke Okaue, 488",144,Setembro
21,5143-31_1,5143-31,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERM. PQ. D. PEDRO II,20568.91,2012,2010,17:45,17:45,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,0,0,0,0,0,0,1,0,1,PADRON,0,,0,,0,,0,DIURNA  (D),26,92,1,22,5,156,0,0,0,302,105,47,454,"Rua Iososuke Okaue, 488",170,Setembro
22,5144-10_1,5144-10,1,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERMINAL PRINC. ISABEL,22560.61,2006,2000,03:50,23:31,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,16,7634,5505,2168,8,7,4,5,70,B-SICO,4,PADRON,12,,0,,0,DIURNA  (D),2805,4337,2022,2744,2552,2317,312,1065,212,103512,4680,2764,177962,"Rua Iososuke Okaue, 488",266,Setembro
23,5144-10_2,5144-10,2,TERM. SAPOPEMBA - TEOTÔNIO VILELA - TERMINAL PRINC. ISABEL,21675.02,2006,2000,04:50,00:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,16,7634,5505,2168,7,8,5,4,71,B-SICO,4,PADRON,12,,0,,0,DIURNA  (D),2805,4337,2022,2744,2552,2317,312,1065,212,103512,4680,2764,177962,"Rua Iososuke Okaue, 488",268,Setembro
24,1732-10_1,1732-10,1,VILA SABRINA - METRÔ SANTA CECÍLIA,18070.21,1978,1970,04:35,23:35,AREA 2,CONCESSAO,SAMBAIBA,,SAMBAIBA,SUBSISTEMA ESTRUTURAL,14,8890,4102,2293,7,6,5,6,77,PADRON,14,,0,,0,,0,DIURNA  (D),2047,4821,3834,6647,3344,3927,193,7725,203,129905,4888,3334,212139,"Av. João Simão de Castro, 50",218,Setembro
25,5145-10_1,5145-10,1,TERM. SAPOPEMBA - TEOTONIO VILELA - PCA. ALMEIDA JR.,21313.58,2006,2000,04:05,23:30,AREA 5,CONCESSAO,VIA SUL,,VIA SUL,SUBSISTEMA ESTRUTURAL,15,5873,3400,2055,5,4,3,3,58,B-SICO,12,PADRON,3,,0,,0,DIURNA  (D),1320,3115,2783,4028,2537,2375,251,4095,100,81910,3526,2418,141356,"Rua Iososuke Okaue, 488",270,Setembro
